PLAYERS,MIN,PTS,FGM,FGA,FG%,3PM,3P%,FTM,FTA,FT%,OREB,AST,TOV,STL,BLK
Anthony Davis,35.1,25.8,9.4,16.7,56.6,0.3,27.3,6.6,9,73.5,3.9,2.9,2.3,0.9,2.1
LeBron James,32.2,24.1,9.2,20.1,45.8,2.4,37.5,3.3,4.1,80.5,1.4,6,3.6,0.7,0.7
Austin Reaves,30.4,17.6,5.3,9.2,57.8,1.5,44.3,5.4,6.3,85.6,0.3,5.5,2,0.5,0.2
D'Angelo Russell,31.1,17.4,6.4,12.9,49.2,2.9,42.1,1.9,2.6,72.2,0.4,6.1,2.4,0.6,0.6
Dennis Schroder,28.9,13,4.2,10.5,40.3,1,29,3.6,4.2,84.3,0.4,5.2,2,0.9,0.2
Malik Beasley,24.3,11.1,4,10.2,39.3,2.5,35.8,0.6,0.9,61.9,0.3,1.2,1.1,0.7,0
Rui Hachimura,20.5,9,3.7,7.4,49.7,0.6,30.2,1.1,1.3,85.7,0.8,0.8,0.5,0.2,0.5
Lonnie Walker IV,12.4,7.2,2.5,6,41.7,1.2,35.4,1,1.4,73.7,0.1,0.6,0.6,0.3,0.2
Troy Brown Jr.,25.2,7.2,2.6,6.2,41.3,1.7,41.7,0.3,0.5,66.7,0.6,1.7,0.5,0.9,0.3
Jarred Vanderbilt,24.3,7.1,2.8,5.5,50.8,0.4,30.3,1.1,1.4,75.8,2,1.4,1.2,1.1,0.2
Wenyen Gabriel,14.5,3.8,1.5,2.9,53.1,0,16.7,0.6,1,60.9,1.8,0.6,0.6,0.5,0.5
Mo Bamba,9,3.6,1.1,2.5,45,0.6,45.5,0.8,1.1,66.7,1.3,0.4,0.9,0.1,0.3
Davon Reed,2.8,0.5,0.2,0.3,50,0,0,0.2,0.7,25,0,0.5,0,0.3,0
Max Christie,2.3,0.3,0.2,0.5,33.3,0,0,0,0,0,0,0.3,0,0.2,0
Cole Swider,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
