PLAYERS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,TOV,STL,BLK
LeBron James,36.3,30,11.5,22.6,50.8,2.2,7,31,4.8,6.4,76.2,8.4,7,3.2,1,0.6
Anthony Davis,33.4,26,9.8,17.5,56.2,0.4,1.5,25,6,7.3,82,12.3,2.5,2.1,1.2,2
D'Angelo Russell,30.2,17.3,6,13.3,45,2,5.3,37.5,3.3,4.3,76.9,3.3,5.7,1.7,0.3,0
Russell Westbrook,28.7,15.9,5.8,14,41.7,1.2,4.1,29.6,3,4.6,65.5,6.2,7.5,3.5,1,0.4
Lonnie Walker IV,26.7,13.2,4.8,10.5,45.4,1.8,4.8,36.8,1.8,2.1,88.5,2.1,1.3,0.9,0.6,0.3
Dennis Schroder,30.7,12.4,4,9.5,42.2,1.2,3.5,34.6,3.1,3.6,86.5,2.6,4.2,1.6,0.7,0.1
Thomas Bryant,21.4,12.1,4.8,7.3,65.4,0.5,1.2,44,2,2.6,74.1,6.8,0.7,0.7,0.3,0.6
Malik Beasley,20.3,11.3,4.3,11.3,38.2,2.7,8.3,32,0,0,0,2.3,1,1.3,1.3,0
Rui Hachimura,26.2,10.7,4.1,8.8,46.4,0.7,2.5,28.6,1.8,3,60.6,6.1,0.5,0.5,0.4,0.3
Austin Reaves,27.9,10.5,3.3,6.8,49.1,1.2,3.3,37.2,2.5,2.9,87.4,3,2.2,1.3,0.5,0.4
Jarred Vanderbilt,22.2,8,3.3,4.7,71.4,0,0,0,1.3,1.3,100,6,3,0.7,1.3,0.3
Troy Brown Jr.,24.1,7.1,2.7,6.1,43.8,1.3,3.5,36.2,0.5,0.5,96.3,4.3,1.1,0.7,0.7,0.2
Kendrick Nunn,13.5,6.7,2.6,6.4,40.6,1.1,3.2,32.5,0.4,0.5,81,1.4,0.9,0.8,0.3,0.1
Patrick Beverley,26.9,6.4,2.2,5.4,40.2,1.2,3.5,34.8,0.9,1.1,78,3.1,2.6,0.9,0.9,0.6
Wenyen Gabriel,15.3,6.3,2.6,4.3,61.7,0.2,0.7,30,0.8,1.3,62.3,3.9,0.5,0.7,0.3,0.5
Mo Bamba,15.8,4,2,7,28.6,0,5,0,0,2,0,6,1,1,0,3
Matt Ryan,10.8,3.9,1.3,4.1,30.6,1.1,2.9,37.1,0.3,0.4,80,1.2,0.3,0.3,0.2,0
Max Christie,14.2,3.6,1.2,2.9,41.7,0.7,1.8,41.9,0.4,0.5,87.5,2.1,0.5,0.4,0.2,0.2
Juan Toscano-Anderson,12.2,2.7,1.1,2.2,50,0.1,0.7,20,0.4,0.5,73.3,2,0.8,0.6,0.3,0.2
Damian Jones,8,2.5,0.9,1.7,54.1,0,0.1,0,0.7,0.9,75,2.5,0.2,0.4,0.1,0.5
Davon Reed,5.1,2.5,1,1,100,0.5,0.5,100,0,0,0,1,0.5,0,0,0
Scotty Pippen Jr.,5.3,2.3,0.7,2,33.3,0.2,0.5,33.3,0.8,1.5,55.6,0.7,0.3,0.3,0.3,0.2
Cole Swider,6.7,1.5,0.5,1.5,33.3,0.5,1.3,37.5,0,0,0,1.2,0.7,0,0,0
Sterling Brown,6.1,0,0,1,0,0,0.5,0,0,0,0,2,0.5,0,0.8,0
